#####################################################################
# Alchemist log file - simulation started at: 2024-05-14T15:40+0000 #
#####################################################################
#
# Seed = 1.0, DeviceCount = 100, MinThreshold = 20.0, MaxThreshold = 60.0, BehaviorInstructions = 290500000, SwapPolicy = smartphone
#
# The columns have the following meaning: 
# time IsMoving[mean] IsMoving[sum] SmartphoneCurrentCapacity[mean] WearableCurrentCapacity[mean] SmartphoneCharging[mean] SmartphoneCharging[sum] WearableCharging[mean] WearableCharging[sum] SmartphoneComponentsTime[mean] SmartphoneComponentsTime[sum] WearableComponentsTime[mean] WearableComponentsTime[sum] CloudComponentsTime[mean] CloudComponentsTime[sum] 
0.0 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0
0.005898358173465956 1.0 100.0 3924.0121424173526 NaN 0.0 0.0 NaN 0.0 0.01769507452039787 0.01769507452039787 0.0 0.0 NaN 0.0
60.00589835817347 1.0 100.0 2159.8230583132513 130.68379096951136 0.0 0.0 0.0 0.0 165.4059407745998 16540.59407745998 1.1904753531774956 119.04753531774973 1182.1992133112203 1182.1992133112203
120.00589835817347 1.0 100.0 2150.8883614035553 130.66562475930357 0.0 0.0 0.0 0.0 332.2059407745998 33220.59407745999 2.3904753531775005 239.04753531774975 2382.1992133112203 2382.1992133112203
180.00589835817345 0.99 99.0 2141.962625359796 130.64745554111101 0.009999999999999995 1.0 0.0 0.0 499.0059407745998 49900.59407745999 3.590475353177491 359.04753531774975 3582.1992133112203 3582.1992133112203
240.00589835817345 0.99 99.0 2133.0529994872863 130.62928786381812 0.009999999999999995 1.0 0.0 0.0 665.8059407745998 66580.59407745999 4.790475353177497 479.04753531774975 4782.19921331122 4782.19921331122
300.00589835817345 0.99 99.0 2124.143343668807 130.61112402399255 0.009999999999999995 1.0 0.0 0.0 832.6059407745998 83260.59407745997 5.990475353177503 599.0475353177496 5982.19921331122 5982.19921331122
360.00589835817345 0.99 99.0 2115.233674238902 130.59295308651005 0.009999999999999995 1.0 0.0 0.0 999.4059407745998 99940.59407745997 7.190475353177508 719.0475353177496 7182.19921331122 7182.19921331122
420.00589835817345 0.99 99.0 2106.3239640840557 130.57478420233136 0.009999999999999995 1.0 0.0 0.0 1166.2059407745999 116620.59407745997 8.390475353177482 839.0475353177496 8382.19921331122 8382.19921331122
480.00589835817345 0.99 99.0 2097.41436547271 130.55661997191876 0.009999999999999995 1.0 0.0 0.0 1333.0059407745998 133300.59407745997 9.5904753531775 959.0475353177496 9582.19921331122 9582.19921331122
540.0058983581735 0.99 99.0 2088.5046388334663 130.53844654504078 0.009999999999999995 1.0 0.0 0.0 1499.8059407745998 149980.59407745997 10.790475353177497 1079.0475353177499 10782.199213311218 10782.199213311218
600.0058983581735 0.99 99.0 2079.595101691674 130.52027084856613 0.009999999999999995 1.0 0.0 0.0 1666.6059407745997 166660.59407745994 11.990475353177482 1199.0475353177499 11982.199213311218 11982.199213311218
660.0058983581735 0.98 98.0 2070.6973266239365 130.50210363317703 0.01999999999999999 2.0 0.0 0.0 1833.4059407746 183340.59407745997 13.190475353177513 1319.0475353177499 13182.199213311218 13182.199213311218
720.0058983581735 0.98 98.0 2061.812705248796 130.48392997051786 0.01999999999999999 2.0 0.0 0.0 2000.2059407745999 200020.59407745991 14.390475353177486 1439.0475353177499 14382.199213311218 14382.199213311218
780.0058983581735 0.98 98.0 2052.9281643470754 130.46576786101411 0.01999999999999999 2.0 0.0 0.0 2167.0059407746 216700.59407745986 15.590475353177522 1559.0475353177499 15582.199213311218 15582.199213311218
840.0058983581735 0.98 98.0 2044.0476698476623 130.44760036108522 0.01999999999999999 2.0 0.0 0.0 2333.7659407746 233376.59407745991 16.7904753531775 1679.0475353177499 16785.199213311218 16785.199213311218
900.0058983581735 0.98 98.0 2035.3270815818248 130.4294352080178 0.01999999999999999 2.0 0.0 0.0 2499.3259407746 249932.59407745991 17.990475353177466 1799.0475353177499 18108.199213311218 18108.199213311218
960.0058983581735 0.98 98.0 2026.7492124768246 130.41126305739766 0.01999999999999999 2.0 0.0 0.0 2663.8359407745997 266383.59407746 19.190475353177487 1919.0475353177499 19537.199213311218 19537.199213311218
1020.0058983581735 0.98 98.0 2018.1953824188347 130.39309709164326 0.01999999999999999 2.0 0.0 0.0 2828.1659407745997 282816.59407745994 20.39047535317751 2039.0475353177499 20983.199213311218 20983.199213311218
1080.0058983581735 0.99 99.0 2054.6808324985673 130.37492730843917 0.009999999999999993 1.0 0.0 0.0 2992.1759407746 299217.5940774599 21.59047535317753 2159.04753531775 22463.199213311218 22463.199213311218
1140.0058983581735 0.98 98.0 2046.099797332082 130.3567546435984 0.019999999999999987 2.0 0.0 0.0 3156.5759407746 315657.59407745994 22.7904753531775 2279.04753531775 23903.199213311218 23903.199213311218
1200.0058983581735 0.98 98.0 2037.53808272023 130.33858156044786 0.019999999999999987 2.0 0.0 0.0 3320.9759407745996 332097.59407746 23.990475353177466 2399.04753531775 25343.199213311218 25343.199213311218
1260.0058983581735 0.98 98.0 2028.9762648434057 130.32041365896416 0.019999999999999987 2.0 0.0 0.0 3485.3759407745997 348537.59407746 25.190475353177465 2519.04753531775 26783.199213311218 26783.199213311218
1320.0058983581735 0.98 98.0 2020.4897153191428 130.30224120534305 0.019999999999999987 2.0 0.0 0.0 3649.1959407746 364919.59407746 26.39047535317754 2639.04753531775 28279.199213311218 28279.199213311218
