#####################################################################
# Alchemist log file - simulation started at: 2024-05-19T21:15+0000 #
#####################################################################
#
# Seed = 0.0, Thresholds = [100.0, 100.0], SwapPolicy = hybrid
#
# The columns have the following meaning: 
# time IsMoving[mean] IsMoving[sum] SmartphoneCurrentCapacity[mean] WearableCurrentCapacity[mean] SmartphoneCharging[mean] SmartphoneCharging[sum] WearableCharging[mean] WearableCharging[sum] SmartphoneComponentsTime[mean] SmartphoneComponentsTime[sum] WearableComponentsTime[mean] WearableComponentsTime[sum] CloudComponentsTime[mean] CloudComponentsTime[sum] TraveledDistance[mean] TraveledDistance[sum] TraveledDistance[min] TraveledDistance[max] CloudPower[mean] CloudPower[sum] SmartphonePower[mean] SmartphonePower[sum] WearablePower[mean] WearablePower[sum] CloudCost[sum] CloudInstance[sum] PercentageSensorInWearable BehaviorOffloadedInCloud 
0.0 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 1.0 0.0 0.0
0.0011337332612453288 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 1.0 0.0 0.0
60.00113373326124 0.76 76.0 3693.4836762804166 244.76965788740017 0.24 24.0 0.24 24.0 107.05025588877741 10705.025588877743 26.163483536283316 2616.348353628332 4496.3757176008585 4496.3757176008585 61.64972256141592 6164.972256141591 0.0 86.92486473023845 3641.712362887412 3641.712362887412 1.6156355771287756 122.78830386178697 0.11490095364779937 8.732472477232752 0.9985422222222216 17.0 44.0 76.0
120.00113373326124 0.76 76.0 3694.6874042795416 244.96017729922676 0.24 24.0 0.24 24.0 215.2602558887774 21526.02558887774 52.35348353628332 5235.348353628332 9056.375717600858 9056.375717600858 122.20683772567298 12220.683772567294 0.0 175.96257160447163 3642.3564580858088 3642.3564580858088 1.5878141340947511 120.6738741912011 0.11172674548318402 8.491232656721985 2.0140088888888927 17.0 43.0 76.0
180.00113373326124 0.76 76.0 3695.6238276449308 245.13998122027905 0.24 24.0 0.24 24.0 323.86025588877743 32386.025588877743 78.15348353628332 7815.34835362833 13616.375717600858 13616.375717600858 178.38791305098306 17838.791305098308 0.0 262.6690821188453 3628.3665996581076 3628.3665996581076 1.5979895191302225 121.4472034538969 0.11214745099413191 8.523206275554022 3.0294755555555506 17.0 43.0 76.0
240.00113373326124 0.77 77.0 3696.141360917553 245.2831549146776 0.23 23.0 0.23 23.0 432.5002558887774 43250.02558887774 103.53348353628331 10353.34835362833 18213.37571760086 18213.37571760086 232.4830969327701 23248.309693277002 0.0 351.3055181765764 3684.501204770904 3684.501204770904 1.6369454768631713 126.0448017184642 0.11053250688553574 8.511003030186252 4.0449422222222084 17.0 42.0 77.0
300.0011337332612 0.77 77.0 3696.114503664524 245.40535643433753 0.23 23.0 0.23 23.0 541.6202558887774 54162.02558887775 128.21348353628332 12821.348353628331 22833.375717600862 22833.375717600862 282.22113878912523 28222.113878912514 0.0 440.0561269414587 3678.4248538200322 3678.4248538200322 1.6458094160429961 126.72732503531067 0.10739426896978882 8.269358710673739 5.060408888888867 17.0 41.0 77.0
360.0011337332612 0.77 77.0 3695.796279607071 245.5130583808914 0.23 23.0 0.23 23.0 651.1102558887774 65111.02558887774 152.52348353628332 15252.348353628331 27453.375717600862 27453.375717600862 328.2861859887361 32828.618598873596 0.0 529.0961207314465 3681.7025256572197 3681.7025256572197 1.6452100565897079 126.68117435740753 0.10044272003539177 7.734089442725167 6.075875555555525 17.0 40.0 77.0
420.0011337332612 0.77 77.0 3695.43888463575 245.5825669988629 0.23 23.0 0.23 23.0 760.9102558887774 76091.02558887775 176.52348353628332 17652.34835362833 32073.375717600862 32073.375717600862 373.88168703404483 37388.1687034045 0.0 616.771247772929 3688.470276904769 3688.470276904769 1.6668750576068951 128.34937943573095 0.10469689389361098 8.061660829808048 7.091342222222183 17.0 40.0 77.0
480.0011337332612 0.77 77.0 3695.052519333641 245.63398049611928 0.23 23.0 0.23 23.0 870.9002558887775 87090.02558887775 200.3334835362833 20033.34835362833 36693.375717600866 36693.375717600866 418.83039011914224 41883.039011914225 0.0 703.4000817984772 3676.564213665732 3676.564213665732 1.7035743118009194 131.1752220086708 0.09985713333960529 7.688999267149607 8.106808888888846 17.0 39.0 77.0
