#####################################################################
# Alchemist log file - simulation started at: 2024-05-18T21:39+0000 #
#####################################################################
#
# Seed = 20.0, Thresholds = [100.0, 100.0], SwapPolicy = hybrid
#
# The columns have the following meaning: 
# time IsMoving[mean] IsMoving[sum] SmartphoneCurrentCapacity[mean] WearableCurrentCapacity[mean] SmartphoneCharging[mean] SmartphoneCharging[sum] WearableCharging[mean] WearableCharging[sum] SmartphoneComponentsTime[mean] SmartphoneComponentsTime[sum] WearableComponentsTime[mean] WearableComponentsTime[sum] CloudComponentsTime[mean] CloudComponentsTime[sum] TraveledDistance[mean] TraveledDistance[sum] TraveledDistance[min] TraveledDistance[max] CloudPower[mean] CloudPower[sum] SmartphonePower[mean] SmartphonePower[sum] WearablePower[mean] WearablePower[sum] CloudCost[sum] CloudInstance[sum] PercentageSensorInWearable BehaviorOffloadedInCloud 
0.0 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 1.0 0.0 0.0
0.00218005860060555 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 1.0 0.0 0.0
60.0021800586006 0.74 74.0 3526.8170575496406 238.6862665133467 0.15 15.0 0.11999999999999994 12.0 98.93501203236747 9893.501203236743 29.165200144533042 2916.520014453305 5048.069465003032 5048.069465003032 60.08285704152049 6008.285704152049 0.0 86.68941982920578 4060.201455759968 4060.201455759968 1.5549367863470944 132.16962683950302 0.15280192088128924 13.446569037553452 1.1160177777777784 19.0 49.0 85.0
120.0021800586006 0.74 74.0 3524.9501679148284 238.3899817531886 0.15 15.0 0.11999999999999994 12.0 198.72501203236746 19872.501203236752 58.375200144533046 5837.520014453305 10148.069465003031 10148.069465003031 121.65593800423491 12165.593800423496 0.0 173.1072171169656 4062.712847555467 4062.712847555467 1.5661805361490362 133.1253455726681 0.1525964533934737 13.428487898625683 2.250951111111113 19.0 48.0 85.0
180.0021800586006 0.75 75.0 3522.9371807657085 238.1046267925464 0.13999999999999999 14.0 0.11999999999999994 12.0 298.7850120323675 29878.501203236752 87.17520014453304 8717.520014453305 15262.06946500303 15262.06946500303 179.66291937819435 17966.291937819442 0.0 262.0433555535647 4121.819583238409 4121.819583238409 1.5281526625879036 131.42112898255968 0.15092266084670472 13.281194154510015 3.366968888888892 19.0 48.0 86.0
240.0021800586006 0.75 75.0 3520.5019664038973 237.82300959022336 0.13999999999999999 14.0 0.11999999999999994 12.0 398.6750120323675 39867.50120323675 115.68520014453304 11568.520014453305 20422.069465003027 20422.069465003027 236.79380348741438 23679.380348741444 0.0 348.6719241447185 4114.093565486452 4114.093565486452 1.5909916089228648 136.8252783673664 0.1468705069770133 12.92460461397717 4.501902222222214 19.0 47.0 86.0
300.00218005860063 0.75 75.0 3518.051489340987 237.55943711312034 0.13999999999999999 14.0 0.11999999999999994 12.0 499.38501203236746 49938.50120323675 143.37520014453304 14337.520014453305 25582.069465003027 25582.069465003027 287.5400237901294 28754.00237901295 0.0 435.3594286178688 4107.083033747399 4107.083033747399 1.6057120253172645 138.09123417728475 0.14453844401705235 12.71938307350061 5.636835555555522 19.0 46.0 86.0
360.00218005860063 0.75 75.0 3515.52931953163 237.31994446036123 0.13999999999999999 14.0 0.11999999999999994 12.0 601.3750120323675 60137.50120323675 169.78520014453304 16978.520014453305 30742.069465003027 30742.069465003027 333.18547503420604 33318.54750342061 0.0 523.7645623589034 4115.945271995746 4115.945271995746 1.6023252440662612 137.79997098969847 0.13352249655081533 11.74997969647175 6.77176888888883 19.0 43.0 86.0
420.00218005860063 0.76 76.0 3512.9395586912524 237.09159594777304 0.13 13.0 0.11 11.0 703.8350120323674 70383.50120323675 195.55520014453305 19555.5200144533 35919.06946500303 35919.06946500303 377.16231602261445 37716.23160226145 0.0 609.0784039332558 4156.137335172706 4156.137335172706 1.6217382870712247 141.09123097519662 0.1355126082718741 12.060622136196793 7.906702222222138 19.0 42.0 87.0
480.00218005860063 0.76 76.0 3510.0298430810344 236.85760169932485 0.13 13.0 0.11 11.0 807.6750120323675 80767.50120323677 219.51520014453303 21951.520014453305 41139.06946500303 41139.06946500303 420.1150423728569 42011.504237285684 0.0 698.6615136703241 4164.978875319636 4164.978875319636 1.6681829248860114 145.131914465083 0.12304813368352308 10.951283897833557 9.041635555555446 19.0 38.0 87.0
540.0021800586006 0.76 76.0 3507.0317471838284 236.65144295239475 0.13 13.0 0.11 11.0 912.8350120323674 91283.50120323674 242.15520014453304 24215.520014453305 46359.06946500302 46359.06946500302 459.27337080886264 45927.33708088628 0.0 786.5946807769946 4164.919214882264 4164.919214882264 1.6499750152571069 143.54782632736834 0.120190974117572 10.696996696463907 10.157653333333199 19.0 37.0 87.0
