#####################################################################
# Alchemist log file - simulation started at: 2024-05-18T21:18+0000 #
#####################################################################
#
# Seed = 98.0, Thresholds = [40.0, 100.0], SwapPolicy = hybrid
#
# The columns have the following meaning: 
# time IsMoving[mean] IsMoving[sum] SmartphoneCurrentCapacity[mean] WearableCurrentCapacity[mean] SmartphoneCharging[mean] SmartphoneCharging[sum] WearableCharging[mean] WearableCharging[sum] SmartphoneComponentsTime[mean] SmartphoneComponentsTime[sum] WearableComponentsTime[mean] WearableComponentsTime[sum] CloudComponentsTime[mean] CloudComponentsTime[sum] TraveledDistance[mean] TraveledDistance[sum] TraveledDistance[min] TraveledDistance[max] CloudPower[mean] CloudPower[sum] SmartphonePower[mean] SmartphonePower[sum] WearablePower[mean] WearablePower[sum] CloudCost[sum] CloudInstance[sum] PercentageSensorInWearable BehaviorOffloadedInCloud 
0.0 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 1.0 0.0 0.0
0.0011754884916368447 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 1.0 0.0 0.0
60.00117548849164 0.72 72.0 3592.931343717738 243.32223529482934 0.15 15.0 0.15 15.0 147.00751504895777 14700.751504895772 31.532592193128433 3153.2592193128435 0.0 0.0 57.16972912972573 5716.972912972576 0.0 89.44917868554094 7.900791283078549 7.900791283078549 4.041179784545648 343.5002816863801 0.15361552544856008 13.0573196631276 0.0577422222222222 1.0 53.0 0.0
120.00117548849164 0.74 74.0 3579.278392071497 243.13894351739077 0.12 12.0 0.15 15.0 295.20751504895776 29520.751504895772 63.33259219312843 6333.259219312842 0.0 0.0 114.32953398930347 11432.953398930349 0.0 179.8418213255719 5.089141408842877 5.089141408842877 4.043099808865282 355.7927831801448 0.15266180358374531 12.976253304618357 0.11747555555555551 1.0 53.0 0.0
180.00117548849164 0.75 75.0 3565.357420626019 242.94872829651402 0.12 12.0 0.13999999999999999 14.0 443.7475150489578 44374.75150489577 94.79259219312843 9479.259219312844 0.0 0.0 168.67949704099402 16867.949704099396 0.0 268.1426640588591 15.977472615718336 15.977472615718336 4.09691020092651 360.52809768153287 0.15068546622962017 12.958950095747337 0.17720888888888886 1.0 52.0 0.0
240.00117548849164 0.75 75.0 3551.313215517839 242.73647715390734 0.12 12.0 0.13999999999999999 14.0 592.7975150489577 59279.75150489577 125.74259219312843 12574.25921931284 0.0 0.0 221.0234157753955 22102.34157753955 0.0 355.06590459826947 13.226007420660997 13.226007420660997 4.086515147267655 359.61333295955365 0.1462539495882451 12.577839664589078 0.23694222222222217 1.0 51.0 0.0
300.00117548849164 0.75 75.0 3537.26509617197 242.53555876759873 0.12 12.0 0.13999999999999999 14.0 742.2675150489578 74226.75150489579 156.27259219312845 15627.259219312842 0.0 0.0 270.4743947982303 27047.439479823028 0.0 441.03952258785694 0.4842456124293201 0.4842456124293201 4.096942500876468 360.53094007712906 0.1447582316707486 12.449207923684373 0.29667555555555675 1.0 50.0 0.0
360.00117548849164 0.77 77.0 3522.957542584303 242.34032252572095 0.11 11.0 0.13000000000000003 13.0 892.7775150489578 89277.75150489577 185.76259219312843 18576.25921931284 0.0 0.0 318.4982727388526 31849.827273885254 0.0 527.5682589257768 16.619174567047864 16.619174567047864 4.11806959533412 366.5081939847368 0.1438157670245602 12.511971731136736 0.3564088888888917 1.0 49.0 0.0
420.00117548849164 0.78 78.0 3507.6708487055357 242.12980218920617 0.1 10.0 0.13000000000000003 13.0 1044.0475150489578 104404.75150489577 214.49259219312842 21449.259219312844 0.0 0.0 365.2995020759026 36529.95020759025 0.0 608.6674440100038 8.541534577687154 8.541534577687154 4.133945953187344 372.0551357868608 0.13409811758797985 11.66653623015425 0.4161422222222267 1.0 47.0 0.0
480.00117548849164 0.78 78.0 3492.3516521444762 241.92970033755094 0.1 10.0 0.13000000000000003 13.0 1195.8575150489578 119585.7515048958 242.68259219312844 24268.259219312844 0.0 0.0 410.5856251006498 41058.56251006498 0.0 695.6074928644979 12.18587939460317 12.18587939460317 4.126074199816187 371.34667798345686 0.1365582675211303 11.880569274338336 0.47587555555556166 1.0 46.0 0.0
