#####################################################################
# Alchemist log file - simulation started at: 2024-05-15T20:54+0000 #
#####################################################################
#
# Seed = 100.0, DeviceCount = 100, Thresholds = [0.0, 0.0], BehaviorInstructions = 890500000, SwapPolicy = smartphone
#
# The columns have the following meaning: 
# time IsMoving[mean] IsMoving[sum] SmartphoneCurrentCapacity[mean] WearableCurrentCapacity[mean] SmartphoneCharging[mean] SmartphoneCharging[sum] WearableCharging[mean] WearableCharging[sum] SmartphoneComponentsTime[mean] SmartphoneComponentsTime[sum] WearableComponentsTime[mean] WearableComponentsTime[sum] CloudComponentsTime[mean] CloudComponentsTime[sum] TraveledDistance[mean] TraveledDistance[sum] TraveledDistance[min] TraveledDistance[max] CloudPower[mean] CloudPower[sum] SmartphonePower[mean] SmartphonePower[sum] WearablePower[mean] WearablePower[sum] CloudCost[sum] PercentageSensorInWearable BehaviorOffloadedInCloud 
0.0 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 0.0 0.0
0.0012459309834991217 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 0.0 0.0
60.0012459309835 0.99 99.0 2200.511460761313 140.25046660499225 0.009999999999999993 1.0 0.0 0.0 178.5783458958322 17857.834589583217 0.0 0.0 0.0 0.0 80.04539963273182 8004.539963273178 38.793253189888766 88.5307584807797 0.0012850346958158355 0.0012850346958158355 0.0014983554481890087 0.14983554481890085 1.2837586776815366E-8 3.979651900812763E-7 0.05881833538902555 0.0 0.0
120.0012459309835 0.97 97.0 2173.78723269327 140.2502112393164 0.029999999999999978 3.0 0.0 0.0 358.5783458958322 35857.834589583224 0.0 0.0 0.0 0.0 159.95881129823243 15995.881129823243 38.88459278363513 176.32875149175783 0.0015365998794321994 0.0015365998794321994 0.0014983733748644816 0.1498373374864482 1.1935500561522284E-8 3.7000051740719084E-7 0.11855166872235885 0.0 0.0
180.0012459309835 0.97 97.0 2147.361528157182 140.24996339610894 0.029999999999999978 3.0 0.0 0.0 538.5783458958322 53857.83458958323 0.0 0.0 0.0 0.0 235.58692578536255 23558.692578536273 38.88459278363513 264.7550141194582 0.0021199764163676196 0.0021199764163676196 0.0014983690310698288 0.1498369031069829 1.2368962218731006E-8 3.834378287806612E-7 0.17828500205569217 0.0 0.0
240.0012459309835 0.95 95.0 2121.1660192098875 140.2497193378847 0.05000000000000002 5.0 0.0 0.0 718.5783458958322 71857.83458958326 0.0 0.0 0.0 0.0 306.422367519694 30642.2367519694 38.88459278363513 351.46042933287606 0.0014995473102021033 0.0014995473102021033 0.0014983633143938694 0.149836331439387 1.5990941263899347E-8 4.957191791808798E-7 0.23801833538902548 0.0 0.0
300.0012459309835 0.94 94.0 2095.5335447443267 140.2494696453967 0.05999999999999996 6.0 0.0 0.0 898.5783458958322 89857.83458958325 0.0 0.0 0.0 0.0 373.5346859080376 37353.468590803735 38.88459278363513 439.50477501476746 3.651820594323816E-4 3.651820594323816E-4 0.0014983576001151792 0.14983576001151783 1.1955650761155788E-8 3.7062517359582944E-7 0.2977516687223601 0.0 0.0
360.0012459309835 0.9299999999999999 93.0 2070.0768011231808 140.24922307010493 0.06999999999999998 7.0 0.0 0.0 1078.5783458958322 107857.83458958323 0.0 0.0 0.0 0.0 434.379494804242 43437.949480424184 38.88459278363513 527.5495017082637 9.270398237607116E-4 9.270398237607116E-4 0.001498385387193276 0.1498385387193276 1.541795716470542E-8 4.77956672105868E-7 0.35748500205569506 0.0 0.0
420.0012459309835 0.9299999999999999 93.0 2044.74073969513 140.24897193894458 0.06999999999999998 7.0 0.0 0.0 1258.5783458958322 125857.83458958322 0.0 0.0 0.0 0.0 490.12519886764903 49012.519886764894 38.88459278363513 616.2078327375272 8.348849634590981E-4 8.348849634590981E-4 0.0014983925946178518 0.14983925946178522 1.4777210935997471E-8 4.5809353901592154E-7 0.41721833538903 0.0 0.0
480.0012459309835 0.92 92.0 2019.4544039853208 140.24872307041304 0.07999999999999997 8.0 0.0 0.0 1438.5783458958322 143857.83458958325 0.0 0.0 0.0 0.0 540.4092855323503 54040.92855323504 38.88459278363513 703.5230670070005 0.002147854852869419 0.002147854852869419 0.0014984022322251569 0.1498402232225157 1.5287284564465483E-8 4.7390582149843015E-7 0.476951668722365 0.0 0.0
540.0012459309835 0.92 92.0 1994.390758238119 140.24847254614426 0.07999999999999997 8.0 0.0 0.0 1618.5783458958322 161857.83458958322 0.0 0.0 0.0 0.0 587.7117658475887 58771.17658475886 38.88459278363513 791.5432897485481 8.906352660579086E-4 8.906352660579086E-4 0.001498384293759424 0.14983842937594244 1.446264768922026E-8 4.48342078365828E-7 0.5366850020556979 0.0 0.0
600.0012459309835 0.92 92.0 1969.327155980797 140.248220481137 0.07999999999999997 8.0 0.0 0.0 1798.5783458958322 179857.83458958322 0.0 0.0 0.0 0.0 634.2806758193403 63428.067581934025 38.88459278363513 878.2310089153113 0.0019219543965495237 0.0019219543965495237 0.001498345360316065 0.14983453603160646 1.4197846472408434E-8 4.4013324064466144E-7 0.5964183353890296 0.0 0.0
660.0012459309835 0.9099999999999999 91.0 1944.4724887349485 140.2479730231659 0.09000000000000004 9.0 0.0 0.0 1978.5783458958322 197857.83458958313 0.0 0.0 0.0 0.0 680.1683943206791 68016.83943206792 61.167802407545416 965.4793447650231 0.0013434729870803663 0.0013434729870803663 0.0014983504692438348 0.14983504692438357 1.0867161054942801E-8 3.368819927032268E-7 0.6561516687223612 0.0 0.0
720.0012459309835 0.9099999999999999 91.0 1919.6813372326703 140.2477236393296 0.09000000000000004 9.0 0.0 0.0 2158.578345895832 215857.83458958313 0.0 0.0 0.0 0.0 724.6394803785802 72463.94803785808 61.167802407545416 1053.8457180746075 0.0019104621285577418 0.0019104621285577418 0.0014983602665220633 0.14983602665220633 1.4091339608285735E-8 4.368315278568578E-7 0.7158850020556928 0.0 0.0
780.0012459309835 0.9099999999999999 91.0 1894.89012311642 140.24747835892612 0.09000000000000004 9.0 0.0 0.0 2338.578345895832 233857.8345895831 0.0 0.0 0.0 0.0 770.4441465140706 77044.41465140705 61.167802407545416 1143.3928135498356 0.0011414470559473768 0.0011414470559473768 0.0014983898855586077 0.1498389885558608 1.5873644366060256E-8 4.920829753478678E-7 0.7756183353890245 0.0 0.0
840.0012459309835 0.9099999999999999 91.0 1870.0989191274548 140.24722388631412 0.09000000000000004 9.0 0.0 0.0 2518.578345895832 251857.83458958313 0.0 0.0 0.0 0.0 812.7794244433496 81277.94244433499 61.167802407545416 1230.6998470569029 0.0011350020845236452 0.0011350020845236452 0.0014983535321998662 0.14983535321998667 1.44197998241256E-8 4.470137945478936E-7 0.8353516687223561 0.0 0.0
900.0012459309835 0.9 90.0 1845.376986961067 140.24697385650407 0.09999999999999995 10.0 0.0 0.0 2698.578345895832 269857.83458958316 0.0 0.0 0.0 0.0 853.1418519774812 85314.18519774816 61.167802407545416 1318.6634788117624 5.117319782204428E-4 5.117319782204428E-4 0.0014983636809667877 0.14983636809667877 1.461859641029959E-8 4.531764887192873E-7 0.8950850020556878 0.0 0.0
960.0012459309835 0.9099999999999999 91.0 1865.749276795208 140.24672475916552 0.08999999999999997 9.0 0.0 0.0 2878.578345895832 287857.83458958304 0.0 0.0 0.0 0.0 892.7768735790218 89277.68735790218 105.01303291931161 1404.8651572748938 5.243250427283627E-4 5.243250427283627E-4 0.0014983564855061214 0.14983564855061207 1.2201470858171022E-8 3.7824559660330155E-7 0.9548183353890194 0.0 0.0
1020.0012459309835 0.9299999999999999 93.0 1930.721965203628 140.2464785407408 0.06999999999999997 7.0 0.0 0.0 3058.578345895832 305857.834589583 0.0 0.0 0.0 0.0 935.0657335118267 93506.57335118263 140.64473776744057 1490.930832920135 0.0012550290912295332 0.0012550290912295332 0.0014983506851996527 0.14983506851996528 1.275082862143135E-8 3.9527568726437185E-7 1.0145516687223526 0.0 0.0
1080.0012459309835 0.92 92.0 1905.3976797133032 140.24623532792887 0.07999999999999996 8.0 0.0 0.0 3238.578345895832 323857.834589583 0.0 0.0 0.0 0.0 976.8239440639572 97682.39440639572 140.64473776744057 1577.3748030261809 0.0014427639822073158 0.0014427639822073158 0.001498361270602357 0.14983612706023572 1.0792617876116996E-8 3.345711541596268E-7 1.0742850020556909 0.0 0.0
1140.0012459309835 0.94 94.0 1970.1161268222083 140.24597834829487 0.05999999999999997 6.0 0.0 0.0 3418.578345895832 341857.834589583 0.0 0.0 0.0 0.0 1017.7777013433295 101777.77013433298 140.64473776744057 1662.4721570814124 0.0016665783383453749 0.0016665783383453749 0.001498352158977451 0.1498352158977451 1.4154441973101336E-8 4.387877011661415E-7 1.1340183353890292 0.0 0.0
1200.0012459309835 0.95 95.0 1989.2669862442203 140.2457305466418 0.049999999999999975 5.0 0.0 0.0 3598.578345895832 359857.834589583 0.0 0.0 0.0 0.0 1061.3060474610572 106130.60474610572 140.64473776744057 1745.9009860788744 1.4002564693310553E-4 1.4002564693310553E-4 0.0014983364850615628 0.1498336485061563 1.2748073983625776E-8 3.9519029349239914E-7 1.1937516687223675 0.0 0.0
1260.0012459309835 0.95 95.0 2008.397466237019 140.24547790327014 0.05000000000000005 5.0 0.0 0.0 3778.578345895832 377857.83458958304 0.0 0.0 0.0 0.0 1105.8850768291607 110588.50768291604 140.64473776744057 1828.5497516369196 3.372953259671051E-4 3.372953259671051E-4 0.00149833968954365 0.14983396895436502 1.1868676699434931E-8 3.679289776824829E-7 1.2534850020557058 0.0 0.0
1320.0012459309835 0.95 95.0 1982.5166226474767 140.24522450022545 0.05000000000000005 5.0 0.0 0.0 3958.578345895832 395857.83458958304 0.0 0.0 0.0 0.0 1154.2679774000537 115426.7977400054 140.64473776744057 1911.768693945021 0.001580595604146395 0.001580595604146395 0.0014983565689958374 0.14983565689958372 1.4829011317047526E-8 4.5969935082847334E-7 1.313218335389044 0.0 0.0
1380.0012459309835 0.96 96.0 2001.5948648774577 140.24497283584148 0.03999999999999997 4.0 0.0 0.0 4138.578345895832 413857.83458958304 0.0 0.0 0.0 0.0 1207.8369006100322 120783.69006100325 140.64473776744057 1998.8804039054644 0.0011155511680029004 0.0011155511680029004 0.0014983428251367662 0.1498342825136767 1.353195648966157E-8 4.1949065117950866E-7 1.3729516687223824 0.0 0.0
