#####################################################################
# Alchemist log file - simulation started at: 2024-05-15T15:14+0000 #
#####################################################################
#
# Seed = 1.0, DeviceCount = 100, MinThreshold = 0.0, BehaviorInstructions = 490500000
#
# The columns have the following meaning: 
# time IsMoving[mean] IsMoving[sum] SmartphoneCurrentCapacity[mean] WearableCurrentCapacity[mean] SmartphoneCharging[mean] SmartphoneCharging[sum] WearableCharging[mean] WearableCharging[sum] SmartphoneComponentsTime[mean] SmartphoneComponentsTime[sum] WearableComponentsTime[mean] WearableComponentsTime[sum] CloudComponentsTime[mean] CloudComponentsTime[sum] TraveledDistance[mean] TraveledDistance[sum] TraveledDistance[min] TraveledDistance[max] CloudPower[mean] CloudPower[sum] SmartphonePower[mean] SmartphonePower[sum] WearablePower[mean] WearablePower[sum] 
0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0
0.005898358173465956 1.0 1.0 3908.314114276382 NaN 0.0 0.0 NaN 0.0 0.01769507452039787 0.01769507452039787 0.0 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 8.873031242983082E-4 8.873031242983082E-4 NaN 0.0
60.00589835817347 0.99 99.0 2115.811806471139 153.82507873329027 0.009999999999999993 1.0 0.0 0.0 178.4906706528963 17849.067065289637 0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN 1.030109935935954E-4 1.030109935935954E-4 8.871987601470842E-4 0.08871987601470843 1.4561604486037876E-8 4.514097390671742E-7
120.00589835817347 0.97 97.0 2099.9954149037126 153.82482843688075 0.03 3.0 0.0 0.0 358.4906706528963 35849.06706528963 0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN 1.3381432352347548E-4 1.3381432352347548E-4 8.872889247261026E-4 0.08872889247261025 1.5026138862779928E-8 4.6581030474617785E-7
180.00589835817345 0.97 97.0 2084.3474229747194 153.82458150653457 0.03 3.0 0.0 0.0 538.4906706528964 53849.06706528962 0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN 7.943780800878667E-5 7.943780800878667E-5 8.872759462780768E-4 0.0887275946278077 1.4182681145136278E-8 4.3966311549922463E-7
240.00589835817345 0.97 97.0 2068.699455138962 153.82433300534456 0.03 3.0 0.0 0.0 718.4906706528964 71849.06706528962 0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN 1.0041301981065845E-4 1.0041301981065845E-4 8.872650739226255E-4 0.08872650739226254 1.3355350579280782E-8 4.1401586795770425E-7
300.00589835817345 0.96 96.0 2053.053019024703 153.82408502259895 0.03 3.0 0.0 0.0 898.4906706528964 89849.06706528962 0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN 4.4840615423113584E-5 4.4840615423113584E-5 8.87242945291625E-4 0.08872429452916257 1.0930821467842726E-8 3.388554655031245E-7
360.00589835817345 0.96 96.0 2037.5663168003828 153.8238318215526 0.03999999999999997 4.0 0.0 0.0 1078.4906706528964 107849.06706528965 0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN 2.402268303933669E-5 2.402268303933669E-5 8.872834914571108E-4 0.08872834914571108 1.155663886343187E-8 3.5825580476638795E-7
420.00589835817345 0.96 96.0 2022.0796392983789 153.8235837124748 0.03999999999999997 4.0 0.0 0.0 1258.4906706528964 125849.06706528962 0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN 4.0659330103872464E-5 4.0659330103872464E-5 8.872320201073939E-4 0.08872320201073938 1.2633119174377999E-8 3.91626694405718E-7
480.00589835817345 0.95 95.0 2006.595787206387 153.82334143525452 0.049999999999999975 5.0 0.0 0.0 1438.4906706528964 143849.06706528962 0.0 0.0 0.0 0.0 NaN 0.0 NaN NaN 8.875262691687702E-5 8.875262691687702E-5 8.872281584792188E-4 0.08872281584792188 1.3896056562275559E-8 4.3077775343054235E-7
