#####################################################################
# Alchemist log file - simulation started at: 2024-05-21T14:58+0000 #
#####################################################################
#
# Seed = 2.0, Thresholds = [20.0, 100.0], SwapPolicy = wearable
#
# The columns have the following meaning: 
# time IsMoving[mean] IsMoving[sum] SmartphoneCurrentCapacity[mean] WearableCurrentCapacity[mean] SmartphoneCharging[mean] SmartphoneCharging[sum] WearableCharging[mean] WearableCharging[sum] SmartphoneComponentsTime[mean] SmartphoneComponentsTime[sum] WearableComponentsTime[mean] WearableComponentsTime[sum] CloudComponentsTime[mean] CloudComponentsTime[sum] TraveledDistance[mean] TraveledDistance[sum] TraveledDistance[min] TraveledDistance[max] CloudPower[mean] CloudPower[sum] SmartphonePower[mean] SmartphonePower[sum] WearablePower[mean] WearablePower[sum] CloudCost[sum] CloudInstance[sum] SmartphoneRechargeTime[mean] WearableRechargeTime[mean] PercentageSensorInWearable BehaviorOffloadedInCloud 
0.0 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 1.0 NaN NaN 0.0 0.0
2.66852140026419E-4 1.0 100.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN 0.0 NaN NaN NaN 0.0 NaN 0.0 NaN 0.0 0.0 1.0 NaN NaN 0.0 0.0
60.00026685214003 0.78 78.0 3535.1710174123123 247.77877069450386 0.22000000000000003 22.0 0.22000000000000003 22.0 119.04612533228425 11904.612533228426 59.523062666142124 5952.306266614213 0.0 0.0 62.07891803953474 6207.891803953476 0.0 88.0221535048411 5.792057766624574 5.792057766624574 1.4015858915142696 109.32369953811299 0.13994687396156794 10.915856169002295 0.0577422222222222 1.0 13.199999999999998 13.199999999999998 100.0 0.0
120.00026685214003 0.78 78.0 3537.1564280982257 247.8255981073421 0.22000000000000003 22.0 0.22000000000000003 22.0 239.04612533228425 23904.612533228425 119.52306266614212 11952.306266614212 0.0 0.0 125.00614958559473 12500.614958559472 0.0 176.50616700224177 8.567711585725823 8.567711585725823 1.449423693755947 113.05504811296386 0.14043683156061718 10.954072861728145 0.11747555555555551 1.0 26.399999999999995 26.399999999999995 100.0 0.0
180.00026685214004 0.78 78.0 3539.1466283181694 247.84713945947513 0.22000000000000003 22.0 0.22000000000000003 22.0 359.04612533228425 35904.612533228414 179.52306266614212 17952.306266614207 0.0 0.0 185.90878352218152 18590.87835221816 0.0 265.4021132849359 13.073804866264904 13.073804866264904 1.449037657506426 113.02493728550125 0.1401839698973191 10.93434965199089 0.17720888888888883 1.0 39.6 39.6 100.0 0.0
240.00026685214004 0.78 78.0 3540.8311633192484 247.85061672876745 0.22000000000000003 22.0 0.22000000000000003 22.0 479.04612533228425 47904.61253322842 239.52306266614212 23952.30626661421 0.0 0.0 242.43115753212786 24243.115753212787 0.0 353.6048229656251 14.338064078574098 14.338064078574098 1.4213805215047137 110.86768067736764 0.14036288260324384 10.948304843053025 0.23694222222222214 1.0 52.79999999999999 52.79999999999999 100.0 0.0
300.00026685214004 0.78 78.0 3542.467230116411 247.81057777579258 0.22000000000000003 22.0 0.22000000000000003 22.0 599.0461253322842 59904.612533228435 299.5230626661421 29952.306266614218 0.0 0.0 295.1619288521343 29516.19288521343 0.0 443.35767038717404 0.7380402545082974 0.7380402545082974 1.4103101557331097 110.00419214718258 0.14015098741713136 10.931777018536247 0.29667555555555675 1.0 66.0 66.0 100.0 0.0
360.00026685214004 0.78 78.0 3543.6430496634885 247.7537144485089 0.22000000000000003 22.0 0.22000000000000003 22.0 719.0461253322842 71904.61253322846 359.5230626661421 35952.30626661423 0.0 0.0 343.7775697536554 34377.756975365555 0.0 532.5887255087541 8.223760853004206 8.223760853004206 1.406964401335503 109.74322330416923 0.14032546321508363 10.945386130776521 0.3564088888888917 1.0 79.2 79.2 100.0 0.0
420.00026685214004 0.78 78.0 3544.4342433759393 247.69713472934083 0.22000000000000003 22.0 0.22000000000000003 22.0 839.0461253322842 83904.61253322849 419.5230626661421 41952.30626661424 0.0 0.0 390.48149699314024 39048.14969931403 0.0 620.9169417010633 14.471213446413072 14.471213446413072 1.4274238453569184 111.3390599378396 0.1396935010795895 10.896093084207978 0.4161422222222267 1.0 92.4 92.4 100.0 0.0
480.00026685214004 0.79 79.0 3544.931224882659 247.61262493932463 0.21000000000000002 21.0 0.21000000000000002 21.0 959.0461253322842 95904.61253322846 479.5230626661421 47952.30626661423 0.0 0.0 437.2494755430472 43724.94755430473 0.0 708.6217845492738 8.955166377623383 8.955166377623383 1.4450740815408327 114.16085244172577 0.14021487083273287 11.076974795785896 0.47587555555556166 1.0 105.37 105.37 100.0 0.0
540.00026685214 0.79 79.0 3545.4055499606643 247.44603391633294 0.21000000000000002 21.0 0.21000000000000002 21.0 1079.0461253322842 107904.61253322849 539.5230626661421 53952.30626661424 0.0 0.0 479.93347399487067 47993.347399487066 0.0 793.7473802292468 0.6060395194485388 0.6060395194485388 1.4184138528746586 112.05469437709803 0.14037165383779102 11.089360653185492 0.5356088888888947 1.0 117.96999999999998 117.96999999999998 100.0 0.0
600.00026685214 0.8 80.0 3545.7910044646587 247.23717255162848 0.2 20.0 0.2 20.0 1199.0461253322842 119904.61253322846 599.5230626661421 59952.30626661423 0.0 0.0 520.3286221901087 52032.86221901086 0.0 879.0008920910501 8.626572071117154 8.626572071117154 1.4300957122057922 114.40765697646337 0.1401194763874588 11.209558110996706 0.5953422222222263 1.0 130.14000000000001 130.14000000000001 100.0 0.0
